Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
186	6	1	130	0.054	
186	6	1	101	0.061	
186	6	1	250	0.062	
186	6	1	250	0.039	
186	6	1	250	0.973	
187	6	1	129	0.047	
187	6	1	138	0.067	
187	6	1	250	0.047	
187	6	1	250	0.063	
187	6	1	250	0.065	
188	6	1	155	0.086	
188	6	1	156	0.073	
188	6	1	104	0.113	
188	6	1	144	0.086	
188	6	1	111	0.119	
189	6	1	177	0.080	
189	6	1	133	0.080	
189	6	1	250	0.067	
189	6	1	139	0.075	
189	6	1	216	0.074	
190	6	1	159	0.051	
190	6	1	196	0.044	
190	6	1	250	0.056	
190	6	1	250	0.082	
190	6	1	250	0.053	
191	6	1	250	0.055	
191	6	1	250	0.076	
191	6	1	56	0.123	
191	6	1	106	0.078	
191	6	1	117	0.074	
192	6	1	148	0.060	
192	6	1	150	0.052	
192	6	1	220	0.051	
192	6	1	186	0.055	
192	6	1	114	0.039	
193	6	1	49	0.124	
193	6	1	52	0.135	
193	6	1	42	0.121	
193	6	1	94	0.067	
193	6	1	94	0.073	
194	6	1	86	0.079	
194	6	1	130	0.082	
194	6	1	250	0.261	
194	6	1	250	0.037	
194	6	1	250	0.645	
195	6	1	212	0.082	
195	6	1	250	0.062	
195	6	1	109	0.090	
195	6	1	103	0.094	
195	6	1	111	0.091	
196	6	1	148	0.074	
196	6	1	120	0.070	
196	6	1	250	0.050	
196	6	1	247	0.049	
196	6	1	141	0.058	
197	6	1	144	0.075	
197	6	1	176	0.089	
197	6	1	172	0.089	
197	6	1	188	0.077	
197	6	1	136	0.086	
198	6	1	129	0.075	
198	6	1	114	0.111	
198	6	1	135	0.055	
198	6	1	178	0.073	
198	6	1	129	0.094	
199	6	1	137	0.074	
199	6	1	85	0.120	
199	6	1	201	0.055	
199	6	1	191	0.081	
199	6	1	155	0.073	
200	6	1	162	0.126	
200	6	1	197	0.088	
200	6	1	112	0.141	
200	6	1	108	0.121	
200	6	1	114	0.124	
201	6	1	125	0.095	
201	6	1	170	0.083	
201	6	1	117	0.101	
201	6	1	191	0.079	
201	6	1	155	0.109	
202	6	1	95	0.104	
202	6	1	86	0.128	
202	6	1	250	0.159	
202	6	1	250	0.061	
202	6	1	250	0.067	
203	6	1	125	0.057	
203	6	1	103	0.061	
203	6	1	149	0.083	
203	6	1	250	0.061	
203	6	1	250	0.070	
204	6	1	153	0.060	
204	6	1	170	0.052	
204	6	1	155	0.088	
204	6	1	152	0.075	
204	6	1	180	0.078	
205	6	1	161	0.061	
205	6	1	155	0.055	
205	6	1	250	0.073	
205	6	1	250	0.042	
205	6	1	250	0.046	
206	6	1	233	0.089	
206	6	1	185	0.087	
206	6	1	65	0.095	
206	6	1	135	0.078	
206	6	1	149	0.077	
207	6	1	55	0.130	
207	6	1	186	0.068	
207	6	1	147	0.053	
207	6	1	154	0.074	
207	6	1	192	0.047	
208	6	1	250	0.072	
208	6	1	250	0.059	
208	6	1	130	0.056	
208	6	1	136	0.056	
208	6	1	127	0.050	
209	6	1	170	0.086	
209	6	1	127	0.085	
209	6	1	112	0.135	
209	6	1	156	0.095	
209	6	1	160	0.092	
210	6	1	152	0.070	
210	6	1	175	0.060	
210	6	1	243	0.065	
210	6	1	238	0.060	
210	6	1	250	0.236	
211	6	1	150	0.049	
211	6	1	176	0.049	
211	6	1	156	0.045	
